index,title,url,site,category,language,course_type,subcategory,intro,duration_seconds,rating
0,Machine Learning Specialization,https://www.coursera.org/specializations/machine-learning-introduction,Coursera,data science,English,Specialization,machine learning,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",432000,4.9
1,Introduction to Data Science Specialization,https://www.coursera.org/specializations/introduction-data-science,Coursera,data science,English,Specialization,data analysis,Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science. ,720000,4.7
2,Data Science Fundamentals with Python and SQL Specialization,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,Coursera,data science,English,Specialization,data analysis,"Build the Foundation for your Data Science career. Develop hands-on experience with Jupyter, Python, SQL. Perform Statistical Analysis on real data sets.",1008000,4.6
3,Key Technologies for Business Specialization,https://www.coursera.org/specializations/key-technologies-for-business,Coursera,business,English,Specialization,business,Get Ahead with Key Business Technologies. Gain Foundational Understanding of Key Technologies Driving Modern Businesses ,432000,4.7
4,Deep Learning Specialization,https://www.coursera.org/specializations/deep-learning,Coursera,data science,English,Specialization,machine learning,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,720000,4.9
5,IBM & Darden Digital Strategy Specialization,https://www.coursera.org/specializations/digital-strategy,Coursera,data science,English,Specialization,machine learning,Get ahead with key business and technical skills. Understand how current technologies are changing industry and create strategy to transform your business,1008000,4.8
6,IBM AI Foundations for Business Specialization,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,Coursera,data science,English,Specialization,machine learning,,288000,4.7
7,Data Analysis and Visualization Foundations Specialization,https://www.coursera.org/specializations/data-analysis-visualization-foundations,Coursera,data science,English,Specialization,data analysis,"Get ahead w/ Data Analysis & Visualization skills. Enhance your career by learning to analyze data using Excel spreadsheets, and create stunning visualizations and interactive dashboards with Cognos.",576000,4.8
8,Applied Data Science Specialization,https://www.coursera.org/specializations/applied-data-science,Coursera,data science,English,Specialization,machine learning,"Get hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ",864000,4.6
9,Data Engineering Foundations Specialization,https://www.coursera.org/specializations/data-engineering-foundations,Coursera,information technology,English,Specialization,data engineering,"Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem. ",720000,4.7
10,IT Fundamentals for Cybersecurity Specialization,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,Coursera,information technology,English,Specialization,security,Launch your career in Cybersecurity. Acquire the knowledge you need to work in Cybersecurity,720000,4.6
11,Applied Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/software-engineering-fundamentals,Coursera,computer science,English,Specialization,software development,"Build the foundation of your career in Software. Develop hands-on experience with Git, GitHub, Linux, and Python, and learn the fundamentals of Software Engineering. ",720000,4.7
12,"DevOps, Cloud, and Agile Foundations Specialization",https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,Coursera,computer science,English,Specialization,design,,576000,4.8
13,Cloud Application Development Foundations Specialization,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,Coursera,information technology,English,Specialization,cloud computing,Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and deploying applications on Cloud.,864000,4.5
14,Python for Everybody Specialization,https://www.coursera.org/specializations/python,Coursera,computer science,English,Specialization,software development,"Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",1152000,4.8
15,Information Technology (IT) and Cloud Fundamentals Specialization,https://www.coursera.org/specializations/it-cloud-fundamentals,Coursera,information technology,English,Specialization,cloud computing,"Kickstart a new IT and Cloud Career . Master hardware, operating systems, programming, database, networking, storage, cybersecurity, and Cloud computing essentials. ",1008000,4.8
16,"BI Foundations with SQL, ETL and Data Warehousing Specialization",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,Coursera,information technology,English,Specialization,data engineering,"Springboard for BI Analytics success. Develop hands-on skills for building data pipelines, warehouses,  reports and dashboards.",720000,4.6
17,Natural Language Processing Specialization,https://www.coursera.org/specializations/natural-language-processing,Coursera,data science,English,Specialization,machine learning,Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest techniques in October '21.,576000,4.6
18,Business Foundations Specialization,https://www.coursera.org/specializations/wharton-business-foundations,Coursera,business,English,Specialization,business,"Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.",1008000,4.7
19,Meta React Native Specialization,https://www.coursera.org/specializations/meta-react-native,Coursera,computer science,English,Specialization,software development,"Become a cross-platform mobile app developer. Learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as iOS and Android.",1152000,4.8
20,Mathematics for Machine Learning and Data Science Specialization,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,Coursera,computer science,English,Specialization,computer science,"Master the Toolkit of AI and Machine Learning. Mathematics for Machine Learning and Data Science is a beginner-friendly Specialization where you’ll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability.",432000,4.5
21,Introduction to Finance and Accounting Specialization,https://www.coursera.org/specializations/finance-accounting,Coursera,business,English,Specialization,finance,Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,720000,4.4
22,AI Foundations for Everyone Specialization,https://www.coursera.org/specializations/ai-foundations-for-everyone,Coursera,data science,English,Specialization,data analysis,,432000,4.7
23,Finance & Quantitative Modeling for Analysts Specialization,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,Coursera,business,English,Specialization,finance,,576000,4.5
24,Machine Learning Engineering for Production (MLOps) Specialization,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Coursera,data science,English,Specialization,machine learning,Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,576000,4.7
25,Business and Financial Modeling Specialization,https://www.coursera.org/specializations/wharton-business-financial-modeling,Coursera,business,English,Specialization,business,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,864000,4.5
26,Business Analytics Specialization,https://www.coursera.org/specializations/business-analytics,Coursera,data science,English,Specialization,data analysis,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,864000,4.6
27,Excel Skills for Business Specialization,https://www.coursera.org/specializations/excel,Coursera,business,English,Specialization,business,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,864000,4.9
28,Learn SQL Basics for Data Science Specialization,https://www.coursera.org/specializations/learn-sql-basics-data-science,Coursera,data science,English,Specialization,data analysis,,576000,4.5
29,The Materiality of ESG Factors Specialization,https://www.coursera.org/specializations/materiality-esg-factors,Coursera,business,English,Specialization,finance,Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,576000,4.7
30,AI For Business Specialization,https://www.coursera.org/specializations/ai-for-business-wharton,Coursera,business,English,Specialization,leadership and management,"Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies",576000,4.7
31,Digital Product Management Specialization,https://www.coursera.org/specializations/uva-darden-digital-product-management,Coursera,computer science,English,Specialization,design,Implement a modern approach to product management. Master the fundamentals that create great teams and products,720000,4.8
32,Leading the Modern Day Business Specialization,https://www.coursera.org/specializations/leading-modern-day-business,Coursera,business,English,Specialization,leadership and management,,576000,4.7
33,Graphic Design Specialization,https://www.coursera.org/specializations/graphic-design,Coursera,arts and humanities,English,Specialization,arts,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project. ,864000,4.7
34,Security Analyst Fundamentals Specialization,https://www.coursera.org/specializations/security-analyst-fundamentals,Coursera,information technology,English,Specialization,security,Launch your career in Cybersecurity.. Acquire the knowledge you need to work as a Cybersecurity Analyst.,576000,4.8
35,Improve Your English Communication Skills Specialization,https://www.coursera.org/specializations/improve-english,Coursera,language learning,English,Specialization,languages,Improve Your English Communication Skills. Write and speak more professionally in English to increase your business success.,720000,4.8
36,Entrepreneurship Specialization,https://www.coursera.org/specializations/wharton-entrepreneurship,Coursera,business,English,Specialization,business,"Turn Your Idea into a Funded Business. Develop, launch, fund and grow your own business",864000,4.8
37,Foundations of Positive Psychology  Specialization,https://www.coursera.org/specializations/positivepsychology,Coursera,business,English,Specialization,business,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,720000,4.8
38,Data Science Specialization,https://www.coursera.org/specializations/jhu-data-science,Coursera,data science,English,Specialization,data analysis,"Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.",1584000,4.5
39,Supply Chain Management Specialization,https://www.coursera.org/specializations/supply-chain-management,Coursera,business,English,Specialization,business,"Supply Chain Management. Master the Fundamentals: Logistics, Operations, Planning, Sourcing, and Strategy",864000,4.8
